clip_sim,gate,is_fake
0.29007903,0.5002527,0
0.29975426,0.5074823,1
0.17265171,0.49937674,1
0.26927778,0.46249935,0
0.25639156,0.5049045,1
0.3318287,0.49019885,0
0.25377512,0.47996676,0
0.31981176,0.5057956,0
0.27935266,0.4922601,1
0.34879178,0.49661624,1
0.30970657,0.47690272,0
0.3208295,0.50206465,1
0.30986977,0.49927506,0
0.33148372,0.4751223,0
0.33338004,0.50971204,0
0.2263835,0.5109891,1
0.307026,0.50461376,1
0.2205618,0.48110342,0
0.3264644,0.49812964,0
0.28461558,0.5164298,1
0.35203987,0.49931598,0
0.25726044,0.48160613,0
0.28090376,0.50516135,0
0.310894,0.5011051,0
0.22831029,0.50538427,1
0.23626488,0.5168658,1
0.32686564,0.4779674,0
0.2981354,0.504803,1
0.30366352,0.50312567,0
0.32233828,0.48878217,0
0.33469296,0.5137217,0
0.33115825,0.48874584,0
0.30278155,0.5040663,0
0.30570498,0.50696826,1
0.24769288,0.5069415,1
0.32889068,0.48415574,0
0.36371002,0.4909227,1
0.2740888,0.49686167,0
0.1924796,0.49842334,1
0.35906073,0.49811304,0
0.30152497,0.49339637,0
0.28431085,0.5059692,0
0.32331443,0.50332475,0
0.30070114,0.49582967,1
0.3271922,0.50456434,0
0.30823654,0.50727564,0
0.27042073,0.50099486,0
0.19059679,0.48469767,1
0.33235323,0.4993156,0
0.2616487,0.50423175,1
0.16531765,0.49177352,1
0.2970213,0.48545375,0
0.24451256,0.50076693,0
0.31680888,0.5085871,0
0.31175655,0.49915537,0
0.17545155,0.48700932,1
0.26812243,0.49038586,0
0.24076171,0.5006438,1
0.3233049,0.52690387,1
0.2725963,0.5009861,1
0.2645844,0.49761415,1
0.2635597,0.50789845,1
0.24386305,0.5230241,1
0.29268584,0.50094795,1
0.28376576,0.49440026,1
0.30860633,0.48528028,0
0.30875352,0.49522862,1
0.28746456,0.50146466,0
0.19192639,0.49949816,1
0.19994019,0.4922389,1
0.29769933,0.49666265,1
0.20902567,0.4921933,1
0.12377815,0.4943316,1
0.34850526,0.5321762,1
0.25295177,0.50813854,1
0.3012706,0.5025323,1
0.27073246,0.49560094,0
0.30140293,0.507538,1
0.22967477,0.51055837,1
0.3213329,0.49585462,0
0.19852318,0.48675194,1
0.2772662,0.47995743,0
0.2907768,0.5043671,0
0.30902612,0.50372297,0
0.30629414,0.48478508,0
0.2951879,0.49574575,0
0.27599517,0.47992763,0
0.24540646,0.48142147,1
0.26342154,0.49215138,0
0.20785484,0.51230115,1
0.25400043,0.5110943,1
0.3540154,0.50237244,0
0.33139965,0.49543586,0
0.26932463,0.4849224,0
0.34861302,0.4921547,1
0.3011921,0.51011133,0
0.30432922,0.5121193,1
0.29604846,0.5057462,0
0.32865125,0.4984608,0
0.3004586,0.49593723,0
0.2205592,0.5067245,1
0.30481583,0.49041474,0
0.21372455,0.50289035,0
0.31936914,0.49537182,0
0.26965925,0.49664083,0
0.222086,0.4793611,1
0.25634757,0.52207965,1
0.30390635,0.5041556,0
0.17205396,0.4940002,1
0.28995186,0.49690327,0
0.29520476,0.48431078,0
0.27799982,0.49184862,0
0.2860975,0.49966797,0
0.34028298,0.48689023,0
0.24069348,0.49673128,0
0.2516292,0.52680194,1
0.34172904,0.50534636,0
0.25452548,0.493283,0
0.27301204,0.50096196,1
0.25496092,0.49224475,1
0.20792326,0.49358964,0
0.30918828,0.49775234,0
0.27974236,0.50219756,0
0.27737105,0.50326407,1
0.2258359,0.4943185,1
0.2697083,0.488656,0
0.21119808,0.5066963,1
0.26437885,0.47592494,0
0.30874145,0.5038539,1
0.28685212,0.5074716,1
0.115931995,0.49182454,1
0.2595614,0.50856304,1
0.27206594,0.51845413,1
0.17126125,0.5000395,1
0.3445909,0.50675464,0
0.2957213,0.49717236,0
0.2311765,0.48417068,1
0.28665876,0.50090593,0
0.24275362,0.5039936,1
0.27545488,0.4972738,1
0.2265147,0.5258475,1
0.2659149,0.49041,0
0.20098531,0.50181717,1
0.17316514,0.48024526,1
0.21289489,0.4964249,1
0.38088942,0.50108653,0
0.30851072,0.49063757,0
0.22663513,0.506563,0
0.28430486,0.4876586,0
0.2883091,0.51670235,1
0.2536875,0.51753515,1
0.24965611,0.5003889,1
0.3071078,0.49277124,1
0.27576655,0.5017827,0
0.22734278,0.4860467,0
0.28273624,0.49103484,0
0.1782349,0.4899098,1
0.3110771,0.4935354,1
0.24414736,0.502033,0
0.26168305,0.51722807,1
0.2615976,0.50329393,1
0.33409685,0.49043903,0
0.351344,0.48755756,0
0.28733015,0.51750755,1
0.24032134,0.508395,1
0.21684535,0.5040408,0
0.18707964,0.51081187,1
0.21452552,0.49926624,1
0.3300698,0.48223937,0
0.27428767,0.50282604,1
0.2727159,0.5047299,1
0.28418154,0.48518243,0
0.22368824,0.4914337,1
0.36273003,0.5090119,0
0.22616139,0.50515026,1
0.22352865,0.49746442,1
0.30059382,0.5015619,1
0.29226273,0.5023431,0
0.3138935,0.50888926,1
0.2917794,0.47745743,1
0.32685694,0.503934,0
0.2361975,0.5066121,1
0.3506425,0.49549603,0
0.29019243,0.49740466,0
0.24080428,0.53787977,1
0.3147393,0.48117614,0
0.26304495,0.49145356,1
0.17301108,0.50105345,0
0.28047657,0.48750794,0
0.3274966,0.5032604,1
0.2069679,0.4998519,1
0.29512456,0.4958391,1
0.23548874,0.4930645,0
0.3137446,0.52194065,1
0.29200685,0.4989048,0
0.27825773,0.51486635,1
0.16113377,0.50123775,1
0.21172297,0.48651865,0
0.16763222,0.50373584,1
0.34011653,0.5069952,1
0.2972751,0.49640715,0
0.34418494,0.50387484,0
0.32560682,0.50120157,1
0.40839374,0.51034963,0
0.27511114,0.4757632,0
0.25505096,0.47103968,0
0.3884991,0.49482337,0
0.29305482,0.50634974,0
0.30783135,0.4928542,0
0.23257582,0.5127787,1
0.24035233,0.4972575,1
0.2729338,0.50341743,1
0.2209349,0.5136283,0
0.2916532,0.49111998,0
0.2941348,0.49585152,0
0.24686185,0.5005509,0
0.28121,0.5029521,1
0.25287068,0.49818635,1
0.3047188,0.49205014,0
0.33060944,0.47675988,0
0.35025904,0.49963483,0
0.36019254,0.53369397,1
0.31816044,0.5024356,0
0.25036553,0.49382195,0
0.2821099,0.49637428,1
0.28279367,0.49599552,0
0.25579903,0.5284963,1
0.38493297,0.48985994,1
0.23146488,0.5054784,1
0.24309994,0.5003054,1
0.24267086,0.50166607,0
0.22589457,0.49822697,0
0.32042584,0.5123088,0
0.26821002,0.4902846,1
0.29711375,0.49669352,0
0.29266682,0.4929866,0
0.25234017,0.497914,1
0.33026695,0.5045609,1
0.2636446,0.5042527,0
0.32839593,0.49671182,0
0.2510435,0.5185807,1
0.28580096,0.47561947,0
0.3042273,0.49736992,0
0.24658252,0.49540877,1
0.29071847,0.4953536,0
0.35349143,0.4908651,0
0.23709068,0.49314007,1
0.29847747,0.50594777,0
0.21080261,0.49765578,1
0.246542,0.49843788,0
0.23094776,0.49981022,1
0.18958034,0.5127186,1
0.2952005,0.4956788,0
0.255835,0.5011367,0
0.33478606,0.49609044,0
0.2831724,0.51090837,0
0.30292127,0.50261635,1
0.15735805,0.48711488,1
0.26787016,0.4942913,0
0.3074128,0.48345497,0
0.24047148,0.49632153,0
0.28437504,0.5210379,1
0.23917657,0.46156743,0
0.27738306,0.49556956,0
0.2250917,0.48801708,0
0.25102654,0.5275729,1
0.31631702,0.5045535,0
0.27872083,0.50534487,1
0.3603986,0.49989152,0
0.31753027,0.50343984,0
0.34622824,0.5017581,0
0.333132,0.513571,0
0.31914902,0.5029149,0
0.3140718,0.5129418,1
0.34441364,0.48068723,0
0.29032558,0.50715774,1
0.32890192,0.49783912,1
0.27056256,0.4993085,0
0.22595248,0.48657537,1
0.26329762,0.50155735,0
0.27576977,0.5174386,1
0.18799424,0.4967239,1
0.25829262,0.48546162,0
0.25932395,0.50193495,1
0.2663377,0.50328016,1
0.25495833,0.5163494,1
0.3106323,0.4971707,0
0.33298728,0.5029154,0
0.26005512,0.49861178,0
0.38743573,0.50291324,0
0.22138697,0.5217133,1
0.23900595,0.49346045,1
0.2678693,0.4884874,0
0.27167434,0.5023212,0
0.30268556,0.48092857,0
0.31778657,0.48213974,0
0.24728677,0.4782853,0
0.28620917,0.49623656,0
0.3320648,0.490348,0
0.3674193,0.5082962,0
0.24785143,0.5080297,0
0.41832,0.50104064,0
0.27202356,0.4841282,0
0.247089,0.47996855,0
0.2782588,0.5078452,0
0.3164564,0.5028247,0
0.15928131,0.4967228,1
0.21443999,0.4959195,1
0.29837072,0.49191263,0
0.23204686,0.49624705,0
0.24549645,0.50445104,1
0.25090578,0.4895734,1
0.32588574,0.49243537,0
0.29892218,0.5035177,1
0.3481044,0.4974483,1
0.22824505,0.506705,1
0.3210416,0.51462287,0
0.28652343,0.49954602,0
0.20566422,0.50939983,1
0.24109909,0.49634108,0
0.22448273,0.48585877,1
0.33091813,0.5180536,1
0.33221465,0.48232034,0
0.19015276,0.49139333,1
0.28268582,0.49817228,0
0.2727697,0.4975358,1
0.20182213,0.5076233,1
0.3228285,0.5244286,1
0.2546498,0.4933417,1
0.24523818,0.509007,1
0.22224511,0.5024201,1
0.2311611,0.50888777,1
0.3523971,0.49465862,1
0.3240958,0.4754193,1
0.27886432,0.486787,0
0.31251773,0.5028314,0
0.29735175,0.48270106,0
0.28134394,0.49098697,0
0.23084998,0.49091038,1
0.29695946,0.48655316,0
0.25693664,0.49371123,0
0.19411914,0.50618845,1
0.2918424,0.47789487,0
0.31777698,0.5009043,0
0.30667153,0.49630642,0
0.21083376,0.5028663,1
0.29365042,0.50344944,0
0.28157592,0.5040002,0
0.27297196,0.51359504,1
0.21247861,0.4938357,1
0.23759723,0.4830557,1
0.28592062,0.5037139,1
0.3016571,0.5142366,1
0.2806681,0.48856306,0
0.33166307,0.4901177,0
0.24244204,0.48444772,1
0.21984911,0.49734974,1
0.27897012,0.49640468,0
0.2453213,0.49275768,1
0.3619415,0.50929505,0
0.33934808,0.50063396,0
0.28331262,0.48812708,1
0.28206384,0.48825422,0
0.26145205,0.49450827,1
0.34615934,0.52509266,1
0.2350547,0.51486176,1
0.29443848,0.49660394,1
0.42327595,0.50131696,0
0.18477337,0.4968125,1
0.28824535,0.47854677,0
