clip_sim,is_fake
0.26516896,0
0.24871798,1
0.31904876,0
0.28398174,0
0.2326417,1
0.31675947,0
0.2962521,0
0.2979585,0
0.1702264,1
0.24455066,1
0.30541342,1
0.22932738,1
0.22030957,1
0.2285582,0
0.21830444,1
0.26667583,1
0.17987993,1
0.29383665,1
0.32565773,0
0.26514253,1
0.30563453,0
0.1961479,1
0.31084117,1
0.19508702,1
0.3183331,1
0.34520712,0
0.3220973,0
0.27448425,0
0.28909644,1
0.2899523,0
0.21863359,0
0.28704587,0
0.2130804,0
0.24106824,1
0.27669203,0
0.2960107,1
0.21660441,1
0.30374324,0
0.3315449,1
0.18935418,1
0.32475013,0
0.25088516,1
0.3086927,0
0.25438386,1
0.25380617,1
0.30213398,1
0.2327533,0
0.22897111,1
0.27592742,0
0.19266455,1
0.31315655,0
0.27531332,1
0.22000006,1
0.31027812,0
0.241506,1
0.25689498,0
0.34181023,0
0.26236632,1
0.2748733,0
0.2233122,0
0.29998213,1
0.32848728,1
0.24282423,0
0.29088742,0
0.27072093,1
0.31675678,0
0.30477202,0
0.30767918,0
0.31246537,1
0.3090613,0
0.17305204,0
0.2198059,0
0.28313416,1
0.30148458,0
0.27472264,1
0.20986205,1
0.27545187,0
0.30484933,0
0.29734653,0
0.26359814,0
0.28056443,0
0.20655724,1
0.3748238,1
0.29579082,0
0.21067217,0
0.24222943,0
0.30017954,1
0.27927554,0
0.258289,1
0.26279277,0
0.27611214,0
0.34299964,0
0.22158998,1
0.20960228,1
0.25705552,0
0.29418087,0
0.33131295,0
0.29590982,0
0.27082372,1
0.2662641,0
0.115910724,1
0.27573043,1
0.2547226,1
0.30693483,0
0.35513455,0
0.26654187,1
0.23344648,0
0.30747348,0
0.20771846,0
0.30311674,0
0.33946127,1
0.41576633,1
0.3440918,0
0.26640657,0
0.16900298,0
0.3166276,0
0.10411218,1
0.28961015,0
0.27741325,0
0.2404003,1
0.29217154,0
0.33207965,1
0.26802644,1
0.31183976,1
0.27310663,1
0.3129751,0
0.24502629,0
0.27919337,0
0.28233021,0
0.14871803,1
0.18476349,1
0.2550861,0
0.26439,1
0.25503254,0
0.29960614,0
0.2971465,0
0.30393535,0
0.26705068,1
0.28803003,1
0.32297805,0
0.29245678,0
0.26621032,0
0.21074344,1
0.20922318,1
0.26890516,0
0.10971601,1
0.29891905,0
0.30319163,0
0.29242936,1
0.27016288,0
0.2948079,1
0.20247464,1
0.2643313,0
0.28928536,0
0.21188058,1
0.28902832,0
0.30645233,1
0.3235067,0
0.32692996,0
0.31799847,0
0.22903267,1
0.3193757,0
0.25606626,1
0.23515865,1
0.27814913,1
0.29364663,1
0.29926187,0
0.26872933,0
0.31869945,0
0.18891004,1
0.3067844,0
0.28868595,1
0.28267166,0
0.33530405,1
0.3034323,0
0.25602007,1
0.38550168,0
0.3112725,1
0.35704917,0
0.36714947,0
0.23382324,1
0.3440528,0
0.29129252,1
0.2798838,0
0.2781579,0
0.18860656,1
0.26647574,1
0.25557318,1
0.3076194,1
0.33213556,0
0.26752096,1
0.25944865,0
0.3171413,0
0.2420753,1
0.3378948,0
0.34532842,1
0.252516,1
0.2558331,1
0.2999202,0
0.3068148,0
0.3341046,1
0.31349134,0
0.3612559,1
0.17864251,1
0.3559885,1
0.31290644,0
0.24945709,0
0.30673105,0
0.3023106,0
0.35782328,0
0.3046465,0
0.3153321,0
0.2415638,0
0.2958492,1
0.3128518,0
0.30208173,1
0.26873413,0
0.34651497,0
0.26281056,1
0.31445277,1
0.29324213,0
0.31063408,0
0.291795,0
0.28409612,0
0.20823468,1
0.23298424,1
0.2891425,1
0.18787742,1
0.3454932,0
0.30935687,1
0.25079167,0
0.26069528,0
0.2510324,1
0.34382176,0
0.24236292,1
0.29373544,1
0.32405385,0
0.1832015,0
0.27932057,0
0.27042365,0
0.36478072,1
0.25228107,1
0.23383251,0
0.3133927,0
0.30167443,1
0.24212253,0
0.2022084,1
0.12533054,1
0.22543138,1
0.28006208,0
0.30665153,0
0.2531161,0
0.25050515,0
0.29903144,0
0.3232969,1
0.31221783,1
0.29134282,0
0.290992,1
0.20954596,1
0.19933164,0
0.19342811,1
0.25506833,0
0.2938578,0
0.28349435,0
0.25080502,0
0.18124078,1
0.20432928,1
0.18573898,1
0.25565994,0
0.32600665,1
0.32952154,0
0.30766898,0
0.32589918,0
0.3119189,0
0.30335903,1
0.33089685,0
0.2334216,1
0.30765373,0
0.24680905,1
0.27058,0
0.40104735,1
0.21629034,1
0.2148791,0
0.2858412,0
0.20575674,0
0.17891899,1
0.1947066,1
0.24472141,1
0.35587448,0
0.2036579,1
0.267177,1
0.25133193,1
0.3352135,0
0.28278005,1
0.3046759,0
0.29840815,1
0.2709617,0
0.2759948,1
0.2611716,0
0.30705485,0
0.28043187,0
0.24998444,0
0.40088177,1
0.2601392,0
0.2818563,1
0.29654145,0
0.30403984,0
0.22315232,1
0.35269767,0
0.2457112,0
0.25611904,0
0.2649697,0
0.32422557,1
0.22996886,1
0.2573372,0
0.2815487,0
0.29682088,0
0.27384704,1
0.22156921,0
0.29954374,1
0.31744576,1
0.29891717,0
0.26497942,0
0.33983642,0
0.28230405,0
0.343862,1
0.24723694,1
0.35218924,0
0.17818588,1
0.33142653,1
0.32465386,0
0.27177307,0
0.29811645,0
0.2910661,0
0.29135188,0
0.3399921,0
0.32095534,0
0.22330354,0
0.33953476,0
0.31535667,0
0.2808045,1
0.17118037,0
0.33223242,1
0.33039725,1
0.2932997,0
0.20986597,1
0.2200606,1
0.22368112,1
0.23014408,1
0.24569401,0
0.18257126,0
0.1830473,1
0.30833957,0
0.2608453,0
0.31686813,1
0.2788312,0
0.24125522,0
0.31638497,1
0.28140867,1
0.34519553,0
0.16246715,1
0.23925632,0
0.3186191,0
0.32411975,0
0.27863574,0
0.35141683,1
0.2804052,0
0.30378547,0
0.104463756,1
0.33014122,0
0.32339007,0
0.3115546,0
0.28471604,1
0.2512967,0
0.28257743,0
0.32472628,0
0.2745813,0
0.15642375,1
0.29306805,0
0.36413378,0
0.30638948,0
0.29857358,1
0.34413123,0
0.21982856,1
0.33656043,1
0.23230062,1
0.21070671,1
0.2976706,1
0.25612947,0
0.20122139,1
0.2994517,0
0.31773892,0
0.23049231,0
0.32674024,0
0.24276584,1
0.26160836,1
0.25717914,0
0.26559606,0
0.19513069,1
0.26872176,1
0.31084546,0
0.33216357,0
0.2622813,1
0.24434058,1
0.24133404,0
0.32873487,0
0.13716,1
0.26296312,0
0.36039847,0
0.34686556,0
0.15710996,1
0.30731672,0
0.2830656,0
0.21485174,1
0.30467594,1
0.22282065,1
0.28224272,1
0.29018742,1
0.24304207,1
0.26973912,0
0.19948308,1
0.24705863,1
0.33137125,0
0.3399772,0
0.25437123,1
0.24332067,1
0.30730188,1
0.28992122,0
0.2479674,1
0.28112984,1
