protocol,model,seed,condition,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,brier,ece,auroc,auprc,tn,fp,fn,tp
source,cgf,42,text_no_punct,0.6486171761280931,0.6160082443413233,0.5890542486797887,0.44057450628366246,0.5041084634346754,0.30897092819213867,0.28943387796394693,0.6680531963284688,0.5790970479164297,3229,856,1558,1227
source,cgf,13,text_typos,0.644395924308588,0.6404355724297026,0.5508323424494649,0.6653500897666068,0.6026996259554399,0.2843172252178192,0.24004265752660311,0.6944175938154433,0.6067840686040713,2574,1511,932,1853
source,cgf,42,text_typos,0.6074235807860262,0.6044364692932018,0.5126146788990825,0.6420107719928186,0.5700621712099474,0.3400697708129883,0.32188695460297656,0.657845733284403,0.5744624581215843,2385,1700,997,1788
source,cgf,13,text_word_dropout,0.6765647743813683,0.6550960453243699,0.6187262758329819,0.5267504488330341,0.5690457719162141,0.2590557634830475,0.2120075692338638,0.7146618644645097,0.6221595154484922,3181,904,1318,1467
source,cgf,42,text_word_dropout,0.6491994177583698,0.6276698759704664,0.5770653514180024,0.5041292639138241,0.5381372173246455,0.3078285753726959,0.2858764592406314,0.6672581081110776,0.580239161431853,3056,1029,1381,1404
random,cgf,13,clean,0.9009401513414355,0.9004785602958926,0.9241730279898219,0.8651738923296808,0.8937007874015748,0.0817849263548851,0.06297437734116015,0.9620797491458398,0.9617846358855753,2113,149,283,1816
random,cgf,13,zero_image,0.8151800045861041,0.8137434006767407,0.8440659925492283,0.755597903763697,0.7973856209150327,0.1494131237268448,0.12466524543054443,0.9015806440606426,0.8969606016552762,1969,293,513,1586
random,cgf,13,zero_text,0.8640220132997019,0.8625847629082853,0.914647577092511,0.7913292043830396,0.8485312899106002,0.11223918944597244,0.09393303241577308,0.9395758748324009,0.9399667749002238,2107,155,438,1661
random,cgf,13,zero_meta,0.8729649163036001,0.8722108467025662,0.9008822003113648,0.827060505002382,0.862394436164928,0.10577430576086044,0.08337410708002675,0.9440043235610912,0.9424506725759751,2071,191,363,1736
random,cgf,13,zero_cons,0.8592066039899106,0.8581122183815368,0.895156998403406,0.8013339685564554,0.8456510809451986,0.112228162586689,0.08799503114082155,0.9396090471274057,0.940541770471565,2065,197,417,1682
random,cgf,42,clean,0.8936023847741343,0.8932257730892543,0.908137793310035,0.8666031443544545,0.8868844466114091,0.08645866811275482,0.07604916496413772,0.9615205590300464,0.9595550845656237,2078,184,280,1819
random,cgf,42,zero_image,0.8316899793625315,0.8312164117403886,0.8360413589364845,0.8089566460219152,0.8222760290556901,0.13994622230529785,0.11803152097307523,0.9092717722935724,0.9004584940667177,1929,333,401,1698
random,cgf,42,zero_text,0.8665443705572117,0.8658970020466528,0.8871873404798366,0.8280133396855646,0.8565795958600295,0.11365223675966263,0.09882781545767623,0.938491193440184,0.9382612358891596,2041,221,361,1738
random,cgf,42,zero_meta,0.8660857601467553,0.8655274518251936,0.8823826350328117,0.8327775131014769,0.8568627450980392,0.11108385771512985,0.09627148569782572,0.9414810176544007,0.936549725185294,2029,233,351,1748
random,cgf,42,zero_cons,0.8688374226094933,0.8682905863767307,0.8854114083796063,0.8356360171510243,0.8598039215686275,0.11061600595712662,0.09174940914895433,0.9414433170778556,0.9405652576614202,2035,227,345,1754
